Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that after clicking on 'Parent' button if admin is in subfolder returns to the parent page,UM-79,10114,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 7:58 PM,09/Sep/21 9:12 AM,09/Sep/21 10:33 AM,08/Sep/21 8:11 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-77,UM-2,,,,,,,,,{},,,,,,,0|i000h3:,,UM Sprint 1,,,,,,,,Done
Verify that 'Pagination' functionality is present or not,UM-78,10113,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 4:25 PM,09/Sep/21 9:22 AM,09/Sep/21 9:22 AM,08/Sep/21 4:30 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-33,UM-32,,,,,,,,,{},,,,,,,0|i000gv:,,UM Sprint 1,,,,,,,,Done
Verify that on 'Pagination' previous button redirects to previous page,UM-77,10112,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 3:28 PM,09/Sep/21 9:25 AM,09/Sep/21 9:26 AM,08/Sep/21 3:41 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-76,UM-2,,,,,,,,,{},,,,,,,0|i000gn:,,UM Sprint 1,,,,,,,,Done
Verify that on 'Pagination' next button redirects to next page,UM-76,10111,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 3:27 PM,09/Sep/21 9:25 AM,09/Sep/21 9:25 AM,08/Sep/21 3:41 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-63,UM-2,,,,,,,,,{},,,,,,,0|i000gf:,,UM Sprint 1,,,,,,,,Done
Verify that on Image Manager page 'Check Boxes' are selectable for performing bulk options,UM-75,10110,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 2:44 PM,09/Sep/21 9:30 AM,09/Sep/21 9:29 AM,08/Sep/21 2:49 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-64,UM-2,,,,,,,,,{},,,,,,,0|i000g7:,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on 'Folder Icon' it showing the space for entering the folder name,UM-74,10109,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 2:22 PM,09/Sep/21 9:30 AM,09/Sep/21 9:30 AM,08/Sep/21 2:28 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-9,UM-2,,,,,,,,,{},,,,,,,0|i000fz:,,UM Sprint 1,,,,,,,,Done
Verify that the 'Check Box' under the stores field is present or not,UM-73,10108,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 2:06 PM,09/Sep/21 9:32 AM,09/Sep/21 9:35 AM,08/Sep/21 2:14 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-40,UM-2,,,,,,,,,{},,,,,,,0|i000fr:,,UM Sprint 1,,,,,,,,Done
Verify that after clicking on the cancel button it should revert back to the same page,UM-72,10107,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 12:36 PM,09/Sep/21 9:17 AM,09/Sep/21 10:33 AM,08/Sep/21 2:14 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-71,UM-21,,,,,,,,,{},,,,,,,0|i000fj:,,UM Sprint 1,,,,,,,,Done
"Verify that in the field of 'Stores' if admin unchecks the checkbox, modifications should be displayed on the records page",UM-71,10106,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 11:59 AM,09/Sep/21 9:16 AM,09/Sep/21 10:33 AM,08/Sep/21 12:09 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-53,UM-21,,,,,,,,,{},,,,,,,0|i000fb:,,UM Sprint 1,,,,,,,,Done
Verify that in the 'Sort Order' after modifications it should be displayed on the records page,UM-70,10105,Test,Done,UM,Uniformstore Manufacturers,software,Ritu Kumari,612ef93744c8ed006880f71d,,Medium,Done,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,Ritu Kumari,612ef93744c8ed006880f71d,08/Sep/21 11:42 AM,09/Sep/21 9:35 AM,09/Sep/21 9:35 AM,08/Sep/21 12:09 PM,,0,,,Ritu Kumari,612ef93744c8ed006880f71d,,,,,,,,,,,UM-56,UM-21,,,,,,,,,{},,,,,,,0|i000f3:,,UM Sprint 1,,,,,,,,Done
